;Station,        Call-Sign,  Comment(2021/07/08)
"802",           JOFV-FM,    FM802
ABC,             JONR,       ABCラジオ
ABS,             JOTR,       ＡＢＳ秋田放送
AFB,             JOWU-FM,    エフエム青森
AFM,             JOPU-FM,    エフエム秋田
AIR-G,           JOFU-FM,    AIR-G'（FM北海道）
ALPHA-STATION,   JOKV-FM,    α-STATION FM京都
BAYFM78,         JOGV-FM,    bayfm78
BSN,             JODR,       ＢＳＮラジオ
BSS,             JOHF,       BSSラジオ
CBC,             JOAR,       CBCラジオ
CCL,             JOAW-FM,    FM COCOLO
CRK,             JOCR,       ラジオ関西
CROSSFM,         JORV-FM,    CROSS FM
CRT,             JOXF,       CRT栃木放送
DATEFM,          JOJU-FM,    Date fm エフエム仙台
E-RADIO,         JOUV-FM,    e-radio FM滋賀
FBC,             JOPR,       FBCラジオ
FM_OITA,         JOJV-FM,    エフエム大分
FM_OKINAWA,      JOIU-FM,    FM沖縄
FM-FUJI,         JOCV-FM,    FM FUJI
FM-OKAYAMA,      JOVV-FM,    ＦＭ岡山
FM-SANIN,        JOVU-FM,    エフエム山陰
FM807,           JOMV-FM,    FM徳島
FMAICHI,         JOCU-FM,    FM AICHI
FMF,             JOTV-FM,    ふくしまFM
FMFUKUI,         JOLU-FM,    FM福井
FMFUKUOKA,       JODU-FM,    FM FUKUOKA
FMGIFU,          JOXV-FM,    ＦＭ ＧＩＦＵ
FMGUNMA,         JORU-FM,    FM GUNMA
FMI,             JOQU-FM,    エフエム岩手
FMJ,             JOAV-FM,    J-WAVE
FMK,             JOSU-FM,    FMKエフエム熊本
FMKAGAWA,        JOYU-FM,    エフエム香川
FMMIE,           JONU-FM,    レディオキューブ ＦＭ三重
FMN,             JOZU-FM,    ＦＭ長野
FMNAGASAKI,      JOHU-FM,    FM長崎
FMNIIGATA,       JOXU-FM,    FM NIIGATA
FMO,             JOBU-FM,    FM大阪
FMS,             JONV-FM,    エフエム佐賀
FMT,             JOAU-FM,    TOKYO FM
FMTOYAMA,        JOOU-FM,    ＦＭとやま
FMY,             JOUU-FM,    エフエム山口
GBS,             JOZF,       ぎふチャン
HBC,             JOHR,       ＨＢＣラジオ
HELLOFIVE,       JOHV-FM,    エフエム石川
HFM,             JOGU-FM,    広島FM
HI-SIX,          JOLV-FM,    エフエム高知
HOUSOU-DAIGAKU,  JOUD-FM,    放送大学
IBC,             JODF,       IBCラジオ
IBS,             JOYF,       LuckyFM 茨城放送
INT,             JODW-FM,    InterFM897
JOAK,            JOAK,       NHKラジオ第1（東京）
JOAK-FM,         JOAK-FM ,   NHK-FM（東京）
JOBK,            JOBK,       NHKラジオ第1（大阪）
JOCK,            JOCK,       NHKラジオ第1（名古屋）
JOEU-FM,         JOEU-FM,    FM愛媛
JOFK,            JOFK,       NHKラジオ第1（広島）
JOHK,            JOHK,       NHKラジオ第1（仙台）
JOIK,            JOIK,       NHKラジオ第1（札幌）
JOLK,            JOLK,       NHKラジオ第1（福岡）
JORF,            JORF,       ラジオ日本
JOYFM,           JOMU-FM,    エフエム宮崎
JOZK,            JOZK,       NHKラジオ第1（松山）
JRT,             JOJR,       ＪＲＴ四国放送
K-MIX,           JOKU-FM,    K-MIX SHIZUOKA
KBC,             JOIF,       KBCラジオ
KBS,             JOBR,       KBS京都ラジオ
KISSFMKOBE,      JOIV-FM,    Kiss FM KOBE
KNB,             JOLR,       ＫＮＢラジオ
KRY,             JOPF,       ＫＲＹ山口放送
LFR,             JOLF,       ニッポン放送
LOVEFM,          JOFW-FM,    LOVE FM
MBC,             JOCF,       ＭＢＣラジオ
MBS,             JOOR,       MBSラジオ
MRT,             JONF,       宮崎放送
MYUFM,           JOOV-FM,    μＦＭ
NACK5,           JODV-FM,    NACK5
NBC,             JOUR,       NBC長崎放送
NORTHWAVE,       JOPV-FM,    FM NORTH WAVE
OBC,             JOUF,       OBCラジオ大阪
OBS,             JOGF,       OBSラジオ
QRR,             JOQR,       文化放送
RAB,             JOGR,       ＲＡＢ青森放送
RADIOBERRY,      JOSV-FM,    RadioBerry
RBC,             JORR,       RBCiラジオ
RCC,             JOER,       RCCラジオ
RFC,             JOWR,       RFCラジオ福島
RFM,             JOEV-FM,    Rhythm Station　エフエム山形
RKB,             JOFR,       RKBラジオ
RKC,             JOZR,       RKC高知放送
RKK,             JOBF,       RKKラジオ
RN1,             JOZ2,       ラジオNIKKEI第1
RN2,             JOZ6,       ラジオNIKKEI第2
RNB,             JOAF,       RNB南海放送
RNC,             JOKF,       RNC西日本放送
ROK,             JOXR,       ラジオ沖縄
RSK,             JOYR,       ＲＳＫラジオ
SBC,             JOSR,       SBCラジオ
SBS,             JOVR,       SBSラジオ
STV,             JOWF,       ＳＴＶラジオ
TBC,             JOIR,       TBCラジオ
TBS,             JOKR,       TBSラジオ
TOKAIRADIO,      JOSF,       東海ラジオ
WBS,             JOVF,       wbs和歌山放送
YBC,             JOEF,       YBC山形放送
YBS,             JOJF,       ＹＢＳラジオ
YFM,             JOTU-FM,    ＦＭヨコハマ
ZIP-FM,          JOQV-FM,    ZIP-FM
