;Station,           Call-Sign,  Comment(2021/07/10)
r1_tokyo,           JOAK,       NHKラジオ第1（東京）
r1_osaka,           JOBK,       NHKラジオ第1（大阪）
r1_nagoya,          JOCK,       NHKラジオ第1（名古屋）
r1_hiroshima,       JOFK,       NHKラジオ第1（広島）
r1_sendai,          JOHK,       NHKラジオ第1（仙台）
r1_sapporo,         JOIK,       NHKラジオ第1（札幌）
r1_fukuoka,         JOLK,       NHKラジオ第1（福岡）
r1_matsuyama,       JOZK,       NHKラジオ第1（松山）
r3_tokyo,           JOAK-FM,    NHK-FM（東京）
r3_osaka,           JOBK-FM,    NHK-FM（大阪）
r3_nagoya,          JOCK-FM,    NHK-FM（名古屋）
r3_hiroshima,       JOFK-FM,    NHK-FM（広島）
r3_sendai,          JOHK-FM,    NHK-FM（仙台）
r3_sapporo,         JOIK-FM,    NHK-FM（札幌）
r3_fukuoka,         JOLK-FM,    NHK-FM（福岡）
r3_matsuyama,       JOZK-FM,    NHK-FM（松山）
r1,                 JOAK,       NHKラジオ第1
r2,                 JOAB,       NHKラジオ第2
r3,                 JOAK-FM,    NHK-FM（東京）
